 INFO  Accepting connections at http://localhost:3000
 HTTP  9/13/2025 10:23:02 AM ::1 GET /
 HTTP  9/13/2025 10:23:02 AM ::1 Returned 200 in 10 ms
 HTTP  9/13/2025 10:23:09 AM ::1 GET /
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 2 ms
 HTTP  9/13/2025 10:23:09 AM ::1 GET /_next/static/media/4cf2300e9c8272f7-s.p.woff2
 HTTP  9/13/2025 10:23:09 AM ::1 GET /_next/static/css/b814bab297487429.css
 HTTP  9/13/2025 10:23:09 AM ::1 GET /_next/static/media/93f479601ee12b01-s.p.woff2
 HTTP  9/13/2025 10:23:09 AM ::1 GET /images/welcome_ai_hero.png
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 1 ms
 HTTP  9/13/2025 10:23:09 AM ::1 GET /_next/static/chunks/webpack-154a6996cfe0f933.js
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 2 ms
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 2 ms
 HTTP  9/13/2025 10:23:09 AM ::1 GET /_next/static/chunks/4bd1b696-c023c6e3521b1417.js
 HTTP  9/13/2025 10:23:09 AM ::1 GET /_next/static/chunks/255-f9c534389f1b5ee3.js
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 1 ms
 HTTP  9/13/2025 10:23:09 AM ::1 GET /_next/static/chunks/main-app-959aa8aa303c5896.js
 HTTP  9/13/2025 10:23:09 AM ::1 GET /_next/static/chunks/149-60ea068194595824.js
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 2 ms
 HTTP  9/13/2025 10:23:09 AM ::1 GET /_next/static/chunks/app/layout-35ffb1a427808fd6.js
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 1 ms
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 2 ms
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 2 ms
 HTTP  9/13/2025 10:23:09 AM ::1 GET /_next/static/chunks/517-af780ac8e6d86722.js
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 2 ms
 HTTP  9/13/2025 10:23:09 AM ::1 GET /_next/static/chunks/239-1013213b0532a1ea.js
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 1 ms
 HTTP  9/13/2025 10:23:09 AM ::1 GET /_next/static/chunks/228-5ba4f3f79de7a039.js
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 1 ms
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 1 ms
 HTTP  9/13/2025 10:23:09 AM ::1 GET /_next/static/chunks/app/page-db8079cefe2ebf3b.js
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 1 ms
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 8 ms
 HTTP  9/13/2025 10:23:09 AM ::1 GET /logo.png
 HTTP  9/13/2025 10:23:09 AM ::1 GET /images/family_care.png
 HTTP  9/13/2025 10:23:09 AM ::1 GET /images/elderly_couple.png
 HTTP  9/13/2025 10:23:09 AM ::1 GET /images/AL_Assistance.png
 HTTP  9/13/2025 10:23:09 AM ::1 GET /logo.svg
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 1 ms
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 3 ms
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 5 ms
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 5 ms
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 5 ms
 HTTP  9/13/2025 10:23:09 AM ::1 GET /features/index.txt?_rsc=3lb4g
 HTTP  9/13/2025 10:23:09 AM ::1 Returned 200 in 1 ms
 HTTP  9/13/2025 10:23:09 AM ::1 GET /partners/index.txt?_rsc=3lb4g
